date,time,pair,side,strategy,entry,briefed_entry_zone,entry_dist_pips,in_zone,briefed_plan,plan_prob,plan_conf,exec_sl,briefed_sl,sl_dev_pips,exec_tp1,briefed_tp,tp_dev_pips,fire_path,mins_after_briefing,pnl_leg1_pips,pnl_all_legs_pips,pnl_source,close_reason,briefing_file
2026-06-03,06:00,GBPUSD,BUY,BRIEFING_EXECUTION,13450.8,13450.0-13453.0,0.0,Y,Sell-side liquidity sweep fade,0.48,MEDIUM,13443.6,13443.0,0.6,13478.1,13477.56931,0.53,phase2_sweep_reclaim,30,-10.75,-10.75,single-leg,SL hit,briefing_GBPUSD_2026-06-03_London.json
2026-06-03,07:50,EURUSD,BUY,BRIEFING_EXECUTION,11622.0,11620.0-11623.0,0.0,Y,Sell-side liquidity sweep fade (primary),0.48,MEDIUM,11614.0,11614.0,0.0,11637.0,11637.0,0.0,phase2_sweep_reclaim,136,-12.0,-12.0,single-leg,External/manual close detected (IG open positions),briefing_EURUSD_2026-06-03_London.json
2026-06-03,14:00,USDJPY,BUY,BRIEFING_EXECUTION,15998.6,15995.0-15998.0,0.6,N,Post-ISM bullish continuation if London holds above 15980,0.55,MEDIUM,15985.7,15985.0,0.7,16003.6,16000.3,3.3,phase2_sweep_reclaim,63,5.2,7.6,reconstructed,EOD_CLOSE,briefing_USDJPY_2026-06-03_London.json
2026-06-04,06:05,EURUSD,SELL,BRIEFING_EXECUTION,11610.4,11613.0-11615.5,2.6,N,Buy-side liquidity sweep then short,0.35,MEDIUM,11621.8,11622.0,0.2,11594.3,11594.5,0.2,trend_entry_fallback,32,-11.8,-0.9000000000000004,reconstructed,SL hit,briefing_EURUSD_2026-06-04_London.json
2026-06-04,06:25,USDCAD,BUY,BRIEFING_EXECUTION,13907.7,13900.5-13905.0,2.7,N,Breakout continuation above yesterday's high,0.32,MEDIUM,13895.7,13890.0,5.7,13915.4,13914.67,0.73,trend_entry_fallback,50,13.05,11.525,reconstructed,External/manual close detected (IG open positions),briefing_USDCAD_2026-06-04_London.json
2026-06-04,13:05,GBPUSD,BUY,BRIEFING_EXECUTION,13455.9,13452.0-13455.0,0.9,N,London reversal continuation - buy dips,0.62,MEDIUM,13438.2,13445.0,6.8,13471.7,13471.3,0.4,trend_entry_fallback,34,-16.95,-16.95,single-leg,SL hit,briefing_GBPUSD_2026-06-04_NY.json
2026-06-05,12:40,USDJPY,BUY,BRIEFING_EXECUTION,15999.9,15995.0-16000.0,0.0,Y,Post-NFP bullish continuation if London holds support,0.48,MEDIUM,15975.3,15975.0,0.3,16005.0,16004.7,0.3,phase2_sweep_reclaim,424,12.9,12.9,single-leg,External/manual close detected (IG open positions),briefing_USDJPY_2026-06-05_London.json
2026-06-08,13:45,USDCAD,BUY,BRIEFING_EXECUTION,13937.9,13935.0-13940.0,0.0,Y,Reversal long after London sweep low,0.32,MEDIUM,13926.3,13926.0,0.3,13950.7,13950.4,0.3,phase2_sweep_reclaim,60,12.75,11.375,reconstructed,TP hit,briefing_USDCAD_2026-06-08_NY.json
2026-06-09,06:50,USDCAD,BUY,BRIEFING_EXECUTION,13935.9,13928.0-13933.0,2.9,N,Sell-side liquidity sweep then long,0.45,MEDIUM,13920.4,13920.0,0.4,13961.7,13961.25,0.45,trend_entry_fallback,71,-13.55,-13.55,single-leg,SL hit,briefing_USDCAD_2026-06-09_London.json
2026-06-09,14:15,EURUSD,SELL,BRIEFING_EXECUTION,11564.1,11556.0-11565.0,0.0,Y,Fade yesterday's high sweep,0.42,MEDIUM,11574.6,11574.5,0.1,11518.2,11518.10314,0.1,phase2_sweep_reclaim,101,19.6,14.8,reconstructed,EOD_CLOSE,briefing_EURUSD_2026-06-09_NY.json
2026-06-11,06:10,EURUSD,SELL,BRIEFING_EXECUTION,11542.9,11545.0-11548.0,2.1,N,Pre-event buy-side liquidity fade,0.4,MEDIUM,11563.1,11558.0,5.1,11525.4,11527.1,1.7,trend_entry_fallback,38,18.0,14.0,reconstructed,TP hit,briefing_EURUSD_2026-06-11_NY.json
2026-06-11,11:05,EURUSD,SELL,BRIEFING_EXECUTION,11535.9,11535.0-11540.0,0.0,Y,Post-ECB continuation short if London fades,0.48,MEDIUM,11554.6,11555.0,0.4,11524.9,11525.25,0.35,phase2_sweep_reclaim,333,9.6,9.6,single-leg,TP hit,briefing_EURUSD_2026-06-11_London.json
2026-06-11,12:30,USDJPY,BUY,BRIEFING_EXECUTION,16057.3,16055.0-16058.0,0.0,Y,Post-PPI bullish continuation if London closes strong,0.48,MEDIUM,16048.8,16048.0,0.8,16070.8,16070.0,0.8,phase2_sweep_reclaim,415,-16.15,-16.15,single-leg,External/manual close detected (IG open positions),briefing_USDJPY_2026-06-11_London.json
2026-06-11,12:40,EURUSD,SELL,BRIEFING_EXECUTION,11525.8,11524.0-11527.0,0.0,Y,Post-event dovish EUR breakdown,0.55,MEDIUM,11534.5,11535.0,0.5,11520.8,11527.1,6.3,phase2_sweep_reclaim,8,-9.6,-9.6,single-leg,SL hit,briefing_EURUSD_2026-06-11_NY.json
2026-06-11,12:45,GBPUSD,SELL,BRIEFING_EXECUTION,13350.4,13350.0-13355.0,0.0,Y,Post-PPI bearish continuation,0.68,HIGH,13367.2,13370.0,2.8,13302.9,13330.0,27.1,phase2_sweep_reclaim,14,-13.45,-1.7249999999999996,reconstructed,External/manual close detected (IG open positions),briefing_GBPUSD_2026-06-11_NY.json
2026-06-11,19:05,USDCAD,BUY,BRIEFING_EXECUTION,13974.9,13960.0-13970.0,4.9,N,London breakout continuation (already executed),0.7,HIGH,13950.4,13945.0,5.4,13990.4,13990.0,0.4,trend_entry_fallback,389,-12.6,-12.6,single-leg,EOD_CLOSE,briefing_USDCAD_2026-06-11_NY.json
2026-06-12,13:10,USDCAD,BUY,BRIEFING_EXECUTION,13977.9,13972.0-13980.0,0.0,Y,NY reversal long after London sweep,0.48,MEDIUM,13944.7,13945.0,0.3,14024.2,14010.30234,13.9,trend_entry_fallback,35,9.0,9.0,single-leg,IG_RECONCILE,briefing_USDCAD_2026-06-12_London.json
2026-06-15,06:05,USDJPY,BUY,BRIEFING_EXECUTION,16005.0,16012.0-16016.5,7.0,N,Buy sell-side liquidity sweep below yesterday's low,0.38,MEDIUM,15982.7,16005.0,22.3,16023.9,16023.15,0.75,trend_entry_fallback,31,19.4,14.7,reconstructed,TP hit,briefing_USDJPY_2026-06-15_NY.json
2026-06-15,13:25,USDCAD,BUY,BRIEFING_EXECUTION,13976.0,13975.0-13980.0,0.0,Y,NY long if London ranges tight,0.35,MEDIUM,13970.5,13960.0,10.5,13993.6,13993.34,0.26,trend_entry_fallback,50,1.15,5.575,reconstructed,Breakeven stop hit (IG server-side),briefing_USDCAD_2026-06-15_London.json
2026-06-15,15:50,GBPUSD,SELL,BRIEFING_EXECUTION,13425.4,13425.0-13432.0,0.0,Y,NY continuation short after London fade,0.48,MEDIUM,13444.6,13445.0,0.4,13392.1,13404.65,12.55,phase2_sweep_reclaim,200,8.4,9.2,reconstructed,EOD_CLOSE,briefing_GBPUSD_2026-06-15_NY.json
2026-06-16,13:35,USDCAD,BUY,BRIEFING_EXECUTION,14003.3,14000.0-14005.0,0.0,Y,London sell-side liquidity sweep fade (already executed),0.68,HIGH,13979.4,13985.0,5.6,14026.0,14024.55,1.45,trend_entry_fallback,58,-19.45,-19.45,single-leg,External/manual close detected (IG open positions),briefing_USDCAD_2026-06-16_NY.json
2026-06-17,05:35,GBPUSD,BUY,BRIEFING_EXECUTION,13430.3,13430.0-13435.0,0.0,Y,NY continuation if London sweeps low and reclaims,0.45,MEDIUM,13415.1,13415.0,0.1,13461.2,13442.75,18.45,phase2_sweep_reclaim,4,4.4,4.4,single-leg,External/manual close detected (IG open positions),briefing_GBPUSD_2026-06-17_London.json
2026-06-17,06:10,USDJPY,BUY,BRIEFING_EXECUTION,16030.5,16027.0-16029.0,1.5,N,Range fade from BB lower,0.28,LOW,16009.7,16023.0,13.3,16048.3,16027.27788,21.02,trend_entry_fallback,36,12.3,11.15,reconstructed,External/manual close detected (IG open positions),briefing_USDJPY_2026-06-17_London.json
2026-06-18,13:10,EURUSD,SELL,BRIEFING_EXECUTION,11466.4,11472.0-11477.8,5.6,N,London bear continuation breakdown,0.55,MEDIUM,11490.1,11488.0,2.1,11445.4,11445.37,0.03,trend_entry_fallback,37,1.5,1.5,single-leg,Breakeven stop hit (IG server-side),briefing_EURUSD_2026-06-18_NY.json
2026-06-18,13:30,USDJPY,BUY,BRIEFING_EXECUTION,16083.1,16080.5-16083.0,0.1,N,London breakout continuation: buy above 16080.2,0.38,MEDIUM,16064.5,16070.0,5.5,16097.2,16097.67,0.47,trend_entry_fallback,56,58.2,34.1,reconstructed,External/manual close detected (IG open positions),briefing_USDJPY_2026-06-18_NY.json
2026-06-18,14:20,USDCAD,BUY,BRIEFING_EXECUTION,14123.8,14118.0-14125.0,0.0,Y,Breakout continuation above weekly high,0.35,MEDIUM,14112.4,14105.0,7.4,14151.7,14146.4,5.3,phase2_sweep_reclaim,104,15.95,12.975,reconstructed,External/manual close detected (IG open positions),briefing_USDCAD_2026-06-18_London.json
2026-06-19,12:40,USDJPY,BUY,BRIEFING_EXECUTION,16126.7,16125.0-16132.0,0.0,Y,NY continuation long after London sweep bounce,0.48,MEDIUM,16109.9,16110.0,0.1,16143.1,16143.2,0.1,phase2_sweep_reclaim,7,2.75,2.75,single-leg,Breakeven stop hit (IG server-side),briefing_USDJPY_2026-06-19_NY.json
2026-06-19,13:05,GBPUSD,BUY,BRIEFING_EXECUTION,13232.0,13225.0-13235.0,0.0,Y,Bullish reversal on strong data beat,0.22,LOW,13216.3,13200.0,16.3,13242.4,13300.0,57.6,phase2_sweep_reclaim,35,-15.65,-15.65,single-leg,SL hit,briefing_GBPUSD_2026-06-19_London.json
2026-06-22,13:15,USDCAD,BUY,BRIEFING_EXECUTION,14161.5,14158.0-14162.0,0.0,Y,Liquidity sweep fade - buy the dip,0.52,MEDIUM,14146.5,14148.0,1.5,14185.2,14183.65,1.55,phase2_sweep_reclaim,39,2.15,6.075,reconstructed,Breakeven stop hit (IG server-side),briefing_USDCAD_2026-06-22_London.json
2026-06-22,13:30,USDJPY,BUY,BRIEFING_EXECUTION,16184.6,16183.0-16188.0,0.0,Y,Breakout continuation above week_high,0.22,LOW,16172.8,16170.0,2.8,16200.8,16200.0,0.8,phase2_sweep_reclaim,55,-5.65,-5.65,single-leg,External/manual close detected (IG open positions),briefing_USDJPY_2026-06-22_London.json
2026-06-23,07:10,USDJPY,BUY,BRIEFING_EXECUTION,16149.8,16145.0-16150.0,0.0,Y,Sell-side liquidity sweep then long reversal,0.42,MEDIUM,16132.7,16132.0,0.7,16193.1,16192.4,0.7,phase2_sweep_reclaim,97,-20.3,-20.3,single-leg,External/manual close detected (IG open positions),briefing_USDJPY_2026-06-23_London.json
2026-06-23,13:00,USDJPY,BUY,BRIEFING_EXECUTION,16156.3,16155.0-16162.0,0.0,Y,Continuation long after London sweep,0.5,MEDIUM,16140.9,16140.0,0.9,16193.3,16169.76,23.54,phase2_sweep_reclaim,27,-6.8,-6.8,single-leg,EOD_CLOSE,briefing_USDJPY_2026-06-23_NY.json
2026-06-23,14:30,EURUSD,SELL,BRIEFING_EXECUTION,11379.2,11378.0-11384.0,0.0,Y,NY continuation lower if London sweeps and fails,0.42,MEDIUM,11394.7,11395.0,0.3,11369.7,11370.0,0.3,phase2_sweep_reclaim,118,-5.8,-5.8,single-leg,EOD_CLOSE,briefing_EURUSD_2026-06-23_NY.json
2026-06-24,06:45,USDCAD,BUY,BRIEFING_EXECUTION,14222.1,14220.0-14225.0,0.0,Y,NY continuation after London breakout,0.4,MEDIUM,14205.2,14210.0,4.8,14250.2,14250.0,0.2,phase2_sweep_reclaim,70,1.85,5.925,reconstructed,Breakeven stop hit (IG server-side),briefing_USDCAD_2026-06-24_London.json
2026-06-24,12:50,GBPUSD,SELL,BRIEFING_EXECUTION,13146.2,13143.0-13150.0,0.0,Y,NY breakdown below London low,0.38,MEDIUM,13168.2,13168.0,0.2,13130.2,13130.0,0.2,phase2_sweep_reclaim,19,-22.25,-22.25,single-leg,SL hit,briefing_GBPUSD_2026-06-24_NY.json
2026-06-24,13:05,EURUSD,SELL,BRIEFING_EXECUTION,11328.1,11338.0-11342.0,9.9,N,NY continuation lower after London range,0.48,MEDIUM,11349.8,11355.0,5.2,11319.8,11320.0,0.2,trend_entry_fallback,33,-20.95,-20.95,single-leg,SL hit,briefing_EURUSD_2026-06-24_NY.json
2026-06-25,08:10,USDCAD,BUY,BRIEFING_EXECUTION,14228.4,14216.0-14220.0,8.4,N,Buy sell-side liquidity sweep at Asian low,0.42,MEDIUM,14210.6,14210.0,0.6,14249.2,14248.55,0.65,trend_entry_fallback,154,0.75,5.375,reconstructed,Breakeven stop hit (IG server-side),briefing_USDCAD_2026-06-25_London.json
2026-07-01,09:05,EURUSD,SELL,BRIEFING_EXECUTION,11398.5,11395.0-11402.0,0.0,Y,Post-CPI continuation short if bearish data,0.48,MEDIUM,11419.2,11420.0,0.8,11382.3,11383.05,0.75,phase2_sweep_reclaim,213,0.1,5.05,reconstructed,Breakeven stop hit (IG server-side),briefing_EURUSD_2026-07-01_London.json
2026-07-09,07:35,USDCAD,SELL,BRIEFING_EXECUTION,14175.3,14172.0-14176.0,0.0,Y,Fade London bounce at resistance,0.62,MEDIUM,14195.3,14185.0,10.3,14167.2,14155.55,11.65,trend_entry_fallback,118,-0.25,4.875,reconstructed,External/manual close detected (IG open positions),briefing_USDCAD_2026-07-09_NY.json
2026-07-09,14:05,USDJPY,BUY,BRIEFING_EXECUTION,16229.9,16215.0-16220.0,9.9,N,Sweep-then-fade if London sweeps low,0.35,MEDIUM,16205.5,16205.0,0.5,16254.3,16231.86162,22.44,trend_entry_fallback,90,0.3,5.15,reconstructed,Breakeven stop hit (IG server-side),briefing_USDJPY_2026-07-09_NY.json
2026-07-15,07:20,GBPUSD,BUY,BRIEFING_EXECUTION,13411.1,13407.0-13412.0,0.0,Y,Bullish breakout continuation,0.35,MEDIUM,13395.6,13395.0,0.6,13443.9,13443.3,0.6,phase2_sweep_reclaim,109,-15.55,-15.55,single-leg,SL hit,briefing_GBPUSD_2026-07-15_London.json
2026-07-21,13:15,GBPUSD,SELL,BRIEFING_EXECUTION,13392.2,13400.0-13408.0,7.8,N,NY continuation if London closes below 13410,0.45,MEDIUM,13419.4,13422.0,2.6,13379.4,13380.0,0.6,trend_entry_fallback,44,2.05,6.025,reconstructed,Breakeven stop hit (IG server-side),briefing_GBPUSD_2026-07-21_NY.json
2026-07-21,13:25,USDCAD,BUY,BRIEFING_EXECUTION,14088.6,14087.0-14090.0,0.0,Y,Bullish breakout above yesterday's high,0.48,MEDIUM,14076.7,14072.0,4.7,14105.7,14087.0,18.7,phase2_sweep_reclaim,49,-12.05,-12.05,single-leg,SL hit,briefing_USDCAD_2026-07-21_London.json
2026-07-22,08:20,USDJPY,BUY,BRIEFING_EXECUTION,16309.1,16305.0-16310.0,0.0,Y,NY reversal long after London sweep,0.55,MEDIUM,16295.1,16295.0,0.1,16340.3,16324.5,15.8,phase2_sweep_reclaim,166,-13.8,-13.8,single-leg,SL hit,briefing_USDJPY_2026-07-22_London.json
2026-07-22,13:30,GBPUSD,SELL,BRIEFING_EXECUTION,13377.4,13383.0-13387.0,5.6,N,Post-CPI range fade at resistance,0.35,LOW,13395.4,13396.0,0.6,13359.8,13359.45,0.35,trend_entry_fallback,59,0.55,5.275,reconstructed,Breakeven stop hit (IG server-side),briefing_GBPUSD_2026-07-22_NY.json
2026-07-22,13:50,USDCAD,SELL,BRIEFING_EXECUTION,14086.6,14082.0-14088.0,0.0,Y,NY continuation short if London closes below 14090,0.6,MEDIUM,14094.5,14095.0,0.5,14053.6,14080.0,26.4,phase2_sweep_reclaim,74,-0.25,4.875,reconstructed,External/manual close detected (IG open positions),briefing_USDCAD_2026-07-22_NY.json
2026-07-22,15:25,USDJPY,BUY,BRIEFING_EXECUTION,16311.0,16310.0-16313.0,0.0,Y,NY continuation long after London holds support,0.45,MEDIUM,16302.5,16302.0,0.5,16340.5,16324.5,16.0,phase2_sweep_reclaim,170,29.5,29.5,logged,IG_RECONCILE,briefing_USDJPY_2026-07-22_NY.json
2026-07-23,11:50,USDJPY,BUY,BRIEFING_EXECUTION,16348.5,16348.0-16355.0,0.0,Y,NY continuation after London breakout,0.38,MEDIUM,16334.6,16335.0,0.4,16359.6,16360.0,0.4,trend_entry_fallback,93,35.1,22.55,reconstructed,EOD_CLOSE,briefing_USDJPY_2026-07-23_London.json
2026-07-23,13:15,USDCAD,BUY,BRIEFING_EXECUTION,14084.7,14080.0-14085.0,0.0,Y,NY continuation long after London sweep,0.5,MEDIUM,14062.3,14065.0,2.7,14111.2,14110.9,0.3,trend_entry_fallback,40,0.65,5.325,reconstructed,Breakeven stop hit (IG server-side),briefing_USDCAD_2026-07-23_London.json
2026-07-24,06:10,USDJPY,BUY,BRIEFING_EXECUTION,16380.8,16380.0-16382.0,0.0,Y,Sell-side sweep fade (buy dip),0.55,MEDIUM,16374.2,16374.0,0.2,16399.1,16398.9,0.2,phase2_sweep_reclaim,36,-14.7,-14.7,single-leg,External/manual close detected (IG open positions),briefing_USDJPY_2026-07-24_London.json
2026-07-24,13:05,USDJPY,BUY,BRIEFING_EXECUTION,16387.7,16385.0-16388.0,0.0,Y,NY continuation after London upside sweep,0.5,MEDIUM,16372.5,16380.0,7.5,16399.4,16398.9,0.5,trend_entry_fallback,31,-15.2,-15.2,single-leg,SL hit,briefing_USDJPY_2026-07-24_London.json
2026-07-24,14:35,EURUSD,SELL,BRIEFING_EXECUTION,11378.3,11376.0-11378.0,0.3,N,"Buy-side liquidity fade, bearish EUR data continuation",0.35,MEDIUM,11397.8,11388.0,9.8,11363.6,11363.8,0.2,trend_entry_fallback,122,9.8,9.8,single-leg,IG_RECONCILE,briefing_EURUSD_2026-07-24_London.json
2026-07-27,06:55,EURUSD,SELL,BRIEFING_EXECUTION,11408.2,11410.0-11413.0,1.8,N,Fade buy-side liquidity sweep pre-Ifo,0.42,MEDIUM,11419.6,11420.0,0.4,11390.3,11390.7,0.4,phase2_sweep_reclaim,83,40.1,25.05,reconstructed,External/manual close detected (IG open positions),briefing_EURUSD_2026-07-27_London.json
2026-07-27,08:05,USDJPY,BUY,BRIEFING_EXECUTION,16352.4,16352.0-16356.0,0.0,Y,Sell-side liquidity sweep reversal long,0.42,MEDIUM,16338.4,16338.0,0.4,16394.6,16394.15,0.45,phase2_sweep_reclaim,151,21.8,15.9,reconstructed,External/manual close detected (IG open positions),briefing_USDJPY_2026-07-27_London.json
2026-07-28,14:30,GBPUSD,SELL,BRIEFING_EXECUTION,13295.6,13296.0-13298.0,0.4,N,NY continuation short after London sweep high,0.4,MEDIUM,13304.3,13305.0,0.7,13269.3,13284.25,14.95,phase2_sweep_reclaim,120,0.95,5.525,logged,Breakeven stop hit (IG server-side),briefing_GBPUSD_2026-07-28_NY.json
2026-07-30,09:20,GBPUSD,SELL,BRIEFING_EXECUTION,13373.1,13365.0-13372.0,1.1,N,Post-BoE consolidation fade,0.55,MEDIUM,13394.3,13388.0,6.3,13366.1,13338.15,27.95,trend_entry_fallback,229,-22.15,-22.15,single-leg,SL hit,briefing_GBPUSD_2026-07-30_NY.json
2026-07-31,05:50,USDJPY,SELL,BRIEFING_EXECUTION,16068.3,16055.0-16070.0,0.0,Y,Buy-side liquidity sweep then short,0.38,MEDIUM,16109.6,16110.0,0.4,15946.3,16019.1,72.8,phase2_sweep_reclaim,15,88.9,32.875,logged,External/manual close detected (IG open positions),briefing_USDJPY_2026-07-31_London.json
2026-07-31,07:10,GBPUSD,BUY,BRIEFING_EXECUTION,13452.8,13450.0-13453.0,0.0,Y,Sell-side liquidity sweep reversal long,0.5,MEDIUM,13440.5,13440.0,0.5,13477.2,13460.05,17.15,phase2_sweep_reclaim,100,0.65,5.325,logged,Breakeven stop hit (IG server-side),briefing_GBPUSD_2026-07-31_London.json
2026-07-31,13:20,GBPUSD,SELL,BRIEFING_EXECUTION,13417.4,13412.0-13418.0,0.0,Y,NY continuation short to 13400,0.62,MEDIUM,13429.6,13430.0,0.4,13376.6,13400.0,23.4,phase2_sweep_reclaim,50,-10.85,-10.85,single-leg,SL hit,briefing_GBPUSD_2026-07-31_NY.json
2026-08-05,07:25,USDCAD,SELL,BRIEFING_EXECUTION,14070.8,14070.0-14078.0,0.0,Y,Range fade if London swept high and reversed,0.28,LOW,14084.4,14088.0,3.6,14034.7,14035.25,0.55,trend_entry_fallback,110,60.75,35.375,logged,External/manual close detected (IG open positions),briefing_USDCAD_2026-08-05_London.json
2026-08-11,06:05,GBPUSD,BUY,BRIEFING_EXECUTION,13514.6,13510.0-13513.0,1.6,N,Post-news bullish continuation if London holds support,0.45,MEDIUM,13500.4,13502.0,1.6,13531.2,13515.55,15.65,trend_entry_fallback,34,-13.65,-13.65,single-leg,SL hit,briefing_GBPUSD_2026-08-11_NY.json
2026-08-12,13:40,USDJPY,SELL,BRIEFING_EXECUTION,15896.0,15900.0-15910.0,4.0,N,Post-CPI bearish continuation short,0.48,MEDIUM,15921.5,15925.0,3.5,15857.1,15878.2,21.1,trend_entry_fallback,64,-23.5,-23.5,single-leg,SL hit,briefing_USDJPY_2026-08-12_NY.json
2026-08-17,05:45,EURUSD,BUY,BRIEFING_EXECUTION,11587.4,11585.0-11587.5,0.0,Y,Bullish continuation on sweep reclaim,0.52,MEDIUM,11578.4,11578.0,0.4,11600.4,11600.0,0.4,phase2_sweep_reclaim,13,14.0,12.05,logged,TP hit,briefing_EURUSD_2026-08-17_London.json
2026-08-17,07:30,GBPUSD,BUY,BRIEFING_EXECUTION,13565.9,13562.0-13567.0,0.0,Y,Bullish breakout above prev day high,0.58,MEDIUM,13550.4,13550.0,0.4,13600.4,13600.0,0.4,phase2_sweep_reclaim,119,-3.75,-3.75,single-leg,External/manual close detected (IG open positions),briefing_GBPUSD_2026-08-17_London.json
2026-08-17,08:30,USDCAD,SELL,BRIEFING_EXECUTION,13851.5,13858.0-13862.0,6.5,N,NY bearish continuation after London weakness,0.55,MEDIUM,13875.0,13870.0,5.0,13846.5,13840.0,6.5,trend_entry_fallback,174,-23.15,-23.15,single-leg,SL hit,briefing_USDCAD_2026-08-17_NY.json
2026-08-17,08:30,GBPUSD,BUY,BRIEFING_EXECUTION,13571.5,13565.0-13572.0,0.0,Y,NY continuation long after London breakout,0.52,MEDIUM,13550.5,13555.0,4.5,13600.5,13600.0,0.5,trend_entry_fallback,179,-20.85,-20.85,single-leg,SL hit,briefing_GBPUSD_2026-08-17_London.json
2026-08-17,16:05,EURUSD,BUY,BRIEFING_EXECUTION,11586.6,11585.0-11587.5,0.0,Y,Bullish continuation on sweep reclaim,0.52,MEDIUM,11575.3,11578.0,2.7,11614.0,11600.0,14.0,phase2_sweep_reclaim,212,-11.7,-11.7,single-leg,SL hit,briefing_EURUSD_2026-08-17_London.json
2026-08-18,07:35,EURUSD,BUY,BRIEFING_EXECUTION,11574.7,11572.0-11574.0,0.7,N,Sell-side liquidity sweep then long,0.45,MEDIUM,11566.4,11565.0,1.4,11600.6,11585.58,15.02,phase2_sweep_reclaim,121,0.0,5.05,logged,Breakeven stop hit (IG server-side),briefing_EURUSD_2026-08-18_NY.json
2026-08-21,08:35,USDCAD,SELL,BRIEFING_EXECUTION,13753.7,13752.0-13758.0,0.0,Y,NY continuation short after London sweep,0.44,MEDIUM,13774.3,13770.0,4.3,13729.3,13730.0,0.7,phase2_sweep_reclaim,176,-0.35,4.875,logged,External/manual close detected (IG open positions),briefing_USDCAD_2026-08-21_London.json
2026-08-21,16:10,USDCAD,SELL,BRIEFING_EXECUTION,13768.1,13757.0-13762.0,6.1,N,Bearish continuation on failed bounce,0.38,MEDIUM,13790.0,13775.0,15.0,13735.8,13730.0,5.8,trend_entry_fallback,214,0.55,5.325,logged,Breakeven stop hit (IG server-side),briefing_USDCAD_2026-08-21_London.json
